alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1777801605.6795,elite,8746.1006672464,1763930838.3532,"AS132420 282, Sector 19",E2E-NETWORKS-IN,Dhaka,Asia,AS,Bangladesh,BD,Mohammadpur,false,"Digital Connectivity Limited",23.7648,90.3588,false,"Md. Mashhur Akhter Hossain T/A Digital Connectivity Limited",true,"Dhaka Division",success,Asia/Dhaka,1207,1777324257,1777801605.6795,8888,http,http://139.5.189.229:8888,false,8810.6350898743,1918,6555,22.636610409536,139.5.189.229
true,1777801435.6076,elite,3877.3632963116,1776079732.2596,"AS24342 BRACNet Limited",BRAC-BDMAIL-AS-BD,Dhaka,Asia,AS,Bangladesh,BD,,false,"BRACNet Limited",23.7529,90.4267,false,"BRACNet Limited",false,"Dhaka Division",success,Asia/Dhaka,1219,1777287821,1777801586.8989,1080,socks5,socks5://115.127.112.34:1080,true,2990.2503490448,5812,5322,52.200467037902,115.127.112.34
true,1777801576.5469,elite,4507.7186920825,1775557624.575,"AS58689 ICC Communication",ICCNET-DHK-BD,Saidpur,Asia,AS,Bangladesh,BD,,false,"ICC Communication Ltd",25.7777,88.8917,false,"ICC Communication Ltd.",true,"Rangpur Division",success,Asia/Dhaka,5310,1777801516,1777801576.5469,1080,socks5,socks5://103.205.135.20:1080,true,4124.1407394409,353,7869,4.2933592799805,103.205.135.20
true,1777801553.5513,transparent,11730.932643337,1776904835.2428,"AS24323 aamra networks limited,",AAMRA-NETWORKS-AS-AP,Dhaka,Asia,AS,Bangladesh,BD,Gulshan,false,"Aamra Networks Limited",23.7938,90.4042,false,,false,"Dhaka Division",success,Asia/Dhaka,1212,1777508432,1777801553.5513,12331,http,http://182.160.107.205:12331,false,10616.022348404,1055,6817,13.401930894309,182.160.107.205
true,1777801552.8273,transparent,6744.0653835109,1765971972.3614,"AS63969 Race Online Limited",RACEONLINE-BD,Thakurgaon,Asia,AS,Bangladesh,BD,,false,Earth-TEL,26.031,88.4699,true,"PLANET SATELLITE ISP Internet",true,"Rangpur Division",success,Asia/Dhaka,,1777466298,1777801552.8273,8081,http,http://103.106.119.217:8081,false,7761.203289032,18549,221106,7.7398760718533,103.106.119.217
true,1777799275.2396,elite,4044.6883024146,1776080488.4276,"AS23923 Agni Systems Limited",AGNI-AS,Dhaka,Asia,AS,Bangladesh,BD,,false,"Agni Systems Limited",23.7891,90.4126,false,"Agni Systems Ltd.",true,"Dhaka Division",success,Asia/Dhaka,1212,1777287575,1777801507.8067,22122,socks5,socks5://119.148.7.10:22122,true,3097.7144241333,6528,4335,60.093896713615,119.148.7.10
true,1777800800.247,elite,4182.6873816923,1770198324.6933,"AS23688 Link3 Technologies Ltd.",LINK3-TECH-AS-BD-AP,Dhaka,Asia,AS,Bangladesh,BD,Gulshan,false,"Link3 Technologies Limited",23.7971,90.4133,false,"Link3 Technologies Ltd",false,"Dhaka Division",success,Asia/Dhaka,1212,1777415521,1777801494.8679,1080,socks5,socks5://27.147.255.146:1080,true,1612.1792793274,6122,6393,48.917299240911,27.147.255.146
true,1777801468.4105,elite,4044.7745130853,1777380923.3183,"AS45766 Triangle Services Limited.",TRIANGLESERVICES,Dhaka,Asia,AS,Bangladesh,BD,Bādda,false,"Md. Abdul Kayum Rashed",23.781,90.4228,false,,false,"Dhaka Division",success,Asia/Dhaka,1208,1777377623,1777801468.4105,1080,socks5,socks5://43.251.86.65:1080,true,1093.9774513245,2095,1420,59.601706970128,43.251.86.65
true,1777800223.3917,elite,4154.202446878,1776079612.2139,"AS63961 Bangladesh Research and Education Network (BdREN)",BDREN-UGC-AS-AP,Rajshahi,Asia,AS,Bangladesh,BD,,false,"Bangladesh Research and Education Network (BdREN)",24.374,88.6011,false,"Bangladesh Research and Education Network (BdREN)",false,"Rajshahi Division",success,Asia/Dhaka,6100,1777547427,1777801420.3597,1080,socks5,socks5://163.47.37.190:1080,true,1735.8679771423,1361,1739,43.903225806452,163.47.37.190
true,1777801385.7789,elite,4196.0899022731,1776079843.8323,"AS23923 Agni Systems Limited",AGNI-AS,Dhaka,Asia,AS,Bangladesh,BD,,false,"Agni Systems Limited",23.7278,90.4135,true,"Agni Systems Ltd.",false,"Dhaka Division",success,Asia/Dhaka,1000,1777287475,1777801385.7789,22122,socks5,socks5://119.148.47.166:22122,true,10013.608217239,4933,5640,46.656578076232,119.148.47.166
true,1777801315.367,elite,4940.2667857733,1776078164.8072,"AS38071 Aftab IT Limited.",AFTABIT-BD-AS-AP,Dhaka,Asia,AS,Bangladesh,BD,Motijheel,false,"Aftab IT Limited",23.737,90.4121,false,"Aftab IT Limited",false,"Dhaka Division",success,Asia/Dhaka,1000,1777547553,1777801345.4283,1080,socks5,socks5://223.27.82.91:1080,true,10455.108880997,1415,1688,45.601031260071,223.27.82.91
true,1777801174.0499,elite,3939.0285373523,1776440406.3231,"AS139282 Novus Network",NOVUSNETWORK-AS-AP,Feni,Asia,AS,Bangladesh,BD,,false,"Novus Network",23.0144,91.3966,false,"Excellence Dot",false,Chittagong,success,Asia/Dhaka,,1777645322,1777801174.0499,1080,socks5,socks5://103.162.57.42:1080,true,1456.4435482025,3326,6123,35.199492009736,103.162.57.42
true,1777801093.6784,elite,3926.460263301,1776086898.9115,"AS45588 Bangladesh Telecommunications Company Limited (BTCL), Nationwide PSTN Operator and Data and Internet Service Provider.",BTCL-ISP-AS,Dhaka,Asia,AS,Bangladesh,BD,,false,"Bangladesh Telegraph & Telephone Board",23.7729,90.3657,false,"Bangladesh Telegraph & Telephone Board",false,"Dhaka Division",success,Asia/Dhaka,1207,1777293986,1777801093.6784,1088,socks5,socks5://114.130.175.146:1088,true,1884.7622871399,6445,4930,56.659340659341,114.130.175.146
